Kód,Territory unit,Total,pre-productive age (aged 0-14) (abs.),pre-productive age (aged 0-14) (%),productive age (aged 15-64) (abs.),productive age (aged 15-64) (%),post-productive age (aged 65+) (abs.),post-productive age (aged 65+) (%)
SK0101,District of Bratislava I,46080,6998,15.19,29171,63.31,9911,21.51
SK0102,District of Bratislava II,125179,19210,15.35,81836,65.38,24133,19.28
SK0103,District of Bratislava III,76270,12562,16.47,49848,65.36,13860,18.17
SK0104,District of Bratislava IV,105245,16458,15.64,69755,66.28,19032,18.08
SK0105,District of Bratislava V,122729,18541,15.11,80794,65.83,23394,19.06
SK0106,District of Malacky,78136,13793,17.65,52134,66.72,12209,15.63
SK0107,District of Pezinok,69183,12564,18.16,45741,66.12,10878,15.72
SK0108,District of Senec,96715,20865,21.57,63491,65.65,12359,12.78
SK0211,District of Dunajská Streda,124669,18322,14.7,85875,68.88,20472,16.42
SK0212,District of Galanta,95124,13581,14.28,65216,68.56,16327,17.16
SK0213,District of Hlohovec,44015,6414,14.57,29579,67.2,8022,18.23
SK0214,District of Piešťany,63032,8667,13.75,41559,65.93,12806,20.32
SK0215,District of Senica,59749,8882,14.87,40482,67.75,10385,17.38
SK0216,District of Skalica,47525,7189,15.13,32083,67.51,8253,17.37
SK0217,District of Trnava,131894,20409,15.47,88338,66.98,23147,17.55
SK0221,District of Bánovce nad Bebravou,35967,5137,14.28,24211,67.31,6619,18.4
SK0222,District of Ilava,58058,8299,14.29,39252,67.61,10507,18.1
SK0223,District of Myjava,25678,3300,12.85,16917,65.88,5461,21.27
SK0224,District of Nové Mesto nad Váhom,61840,9007,14.57,40569,65.6,12264,19.83
SK0225,District of Partizánske,44515,5998,13.47,29446,66.15,9071,20.38
SK0226,District of Považská Bystrica,61617,8950,14.53,42403,68.82,10264,16.66
SK0227,District of Prievidza,131693,17389,13.2,89096,67.65,25208,19.14
SK0228,District of Púchov,44319,6622,14.94,30199,68.14,7498,16.92
SK0229,District of Trenčín,113777,16795,14.76,74922,65.85,22060,19.39
SK0231,District of Komárno,100952,13293,13.17,68512,67.87,19147,18.97
SK0232,District of Levice,110469,15063,13.64,74769,67.68,20637,18.68
SK0233,District of Nitra,164788,24452,14.84,110642,67.14,29694,18.02
SK0234,District of Nové Zámky,138168,18148,13.13,93295,67.52,26725,19.34
SK0235,District of Šaľa,51477,7276,14.13,35152,68.29,9049,17.58
SK0236,District of Topoľčany,70877,9494,13.4,48143,67.92,13240,18.68
SK0237,District of Zlaté Moravce,41169,5730,13.92,27653,67.17,7786,18.91
SK0311,District of Bytča,31154,5034,16.16,21392,68.67,4728,15.18
SK0312,District of Čadca,88642,13252,14.95,62479,70.48,12911,14.57
SK0313,District of Dolný Kubín,39026,6304,16.15,26494,67.89,6228,15.96
SK0314,District of Kysucké Nové Mesto,32699,4987,15.25,22602,69.12,5110,15.63
SK0315,District of Liptovský Mikuláš,71935,10272,14.28,47998,66.72,13665,19
SK0316,District of Martin,94376,13533,14.34,63198,66.96,17645,18.7
SK0317,District of Námestovo,63200,13635,21.57,42954,67.97,6611,10.46
SK0318,District of Ružomberok,57392,8545,14.89,38545,67.16,10302,17.95
SK0319,District of Turčianske Teplice,15956,2154,13.5,10631,66.63,3171,19.87
SK031A,District of Tvrdošín,35856,6328,17.65,24315,67.81,5213,14.54
SK031B,District of Žilina,161377,25779,15.97,108682,67.35,26916,16.68
SK0321,District of Banská Bystrica,108730,15340,14.11,72277,66.47,21113,19.42
SK0322,District of Banská Štiavnica,15649,2274,14.53,10556,67.45,2819,18.01
SK0323,District of Brezno,59446,8609,14.48,39843,67.02,10994,18.49
SK0324,District of Detva,31034,4273,13.77,20841,67.16,5920,19.08
SK0325,District of Krupina,21517,3313,15.4,14637,68.03,3567,16.58
SK0326,District of Lučenec,70422,10873,15.44,47515,67.47,12034,17.09
SK0327,District of Poltár,20634,2833,13.73,13860,67.17,3941,19.1
SK0328,District of Revúca,38669,6747,17.45,25870,66.9,6052,15.65
SK0329,District of Rimavská Sobota,80666,14517,18,53878,66.79,12271,15.21
SK032A,District of Veľký Krtíš,41998,5719,13.62,28899,68.81,7380,17.57
SK032B,District of Zvolen,66750,9426,14.12,44768,67.07,12556,18.81
SK032C,District of Žarnovica,25242,3473,13.76,16932,67.08,4837,19.16
SK032D,District of Žiar nad Hronom,44844,6151,13.72,29918,66.72,8775,19.57
SK0411,District of Bardejov,76012,13156,17.31,51111,67.24,11745,15.45
SK0412,District of Humenné,60126,8226,13.68,41302,68.69,10598,17.63
SK0413,District of Kežmarok,73685,17558,23.83,48158,65.36,7969,10.81
SK0414,District of Levoča,33107,6042,18.25,22458,67.83,4607,13.92
SK0415,District of Medzilaborce,11056,1501,13.58,7397,66.9,2158,19.52
SK0416,District of Poprad,102744,17160,16.7,68483,66.65,17101,16.64
SK0417,District of Prešov,172804,31599,18.29,114771,66.42,26434,15.3
SK0418,District of Sabinov,60389,13642,22.59,39376,65.2,7371,12.21
SK0419,District of Snina,35125,4709,13.41,24580,69.98,5836,16.61
SK041A,District of Stará Ľubovňa,52968,10806,20.4,35381,66.8,6781,12.8
SK041B,District of Stropkov,19878,3096,15.58,13603,68.43,3179,15.99
SK041C,District of Svidník,31611,4852,15.35,21745,68.79,5014,15.86
SK041D,District of Vranov nad Topľou,79426,15183,19.12,53221,67.01,11022,13.88
SK0421,District of Gelnica,31698,6767,21.35,20223,63.8,4708,14.85
SK0422,District of Košice I,64453,8878,13.77,44143,68.49,11432,17.74
SK0423,District of Košice II,79437,12596,15.86,53919,67.88,12922,16.27
SK0424,District of Košice III,28135,4206,14.95,18349,65.22,5580,19.83
SK0425,District of Košice IV,57015,8256,14.48,35783,62.76,12976,22.76
SK0426,District of Košice - okolie,128346,25911,20.19,85425,66.56,17010,13.25
SK0427,District of Michalovce,108954,18353,16.84,73800,67.74,16801,15.42
SK0428,District of Rožňava,59345,9961,16.78,39656,66.82,9728,16.39
SK0429,District of Sobrance,22440,3454,15.39,15261,68.01,3725,16.6
SK042A,District of Spišská Nová Ves,98706,20471,20.74,64456,65.3,13779,13.96
SK042B,District of Trebišov,103687,18248,17.6,69911,67.43,15528,14.98
