Kód,Territory unit,Total,working (except pensioners) (abs.),working (except pensioners) (%),working pensioner (abs.),working pensioner (%),person on maternity leave (abs.),person on maternity leave (%),person on parental leave (abs.),person on parental leave (%),unemployed (abs.),unemployed (%),secondary school student (abs.),secondary school student (%),college / university student (abs.),college / university student (%),person at home (abs.),person at home (%),pensioner (abs.),pensioner (%),capital gains beneficiary (abs.),capital gains beneficiary (%),primary school pupil (abs.),primary school pupil (%),pre-schooler (abs.),pre-schooler (%),other (abs.),other (%),not found out (abs.),not found out (%)
SK0101,District of Bratislava I,46080,19314,41.91,3985,8.65,227,0.49,636,1.38,888,1.93,1116,2.42,754,1.64,1999,4.34,8008,17.38,443,0.96,3785,8.21,3306,7.17,65,0.14,1554,3.37
SK0102,District of Bratislava II,125179,54191,43.29,8278,6.61,719,0.57,1769,1.41,3169,2.53,3386,2.7,2118,1.69,5255,4.2,22699,18.13,564,0.45,10039,8.02,9500,7.59,259,0.21,3233,2.58
SK0103,District of Bratislava III,76270,33050,43.33,5225,6.85,476,0.62,1224,1.6,1812,2.38,2006,2.63,1184,1.55,3163,4.15,12560,16.47,367,0.48,6468,8.48,6259,8.21,92,0.12,2384,3.13
SK0104,District of Bratislava IV,105245,47132,44.78,6827,6.49,675,0.64,1409,1.34,2662,2.53,3195,3.04,2075,1.97,4306,4.09,17398,16.53,461,0.44,8931,8.49,7837,7.45,112,0.11,2225,2.11
SK0105,District of Bratislava V,122729,52547,42.82,10924,8.9,656,0.53,1769,1.44,3097,2.52,2657,2.16,1546,1.26,5141,4.19,22078,17.99,471,0.38,9437,7.69,9415,7.67,260,0.21,2731,2.23
SK0106,District of Malacky,78136,33835,43.3,4454,5.7,392,0.5,1003,1.28,2312,2.96,2622,3.36,1080,1.38,3642,4.66,13006,16.65,135,0.17,7913,10.13,6195,7.93,145,0.19,1402,1.79
SK0107,District of Pezinok,69183,29996,43.36,4148,6,355,0.51,988,1.43,1726,2.49,2387,3.45,1211,1.75,2984,4.31,11479,16.59,165,0.24,7128,10.3,5671,8.2,48,0.07,897,1.3
SK0108,District of Senec,96715,42078,43.51,4657,4.82,658,0.68,1659,1.72,2392,2.47,3481,3.6,1643,1.7,4489,4.64,12833,13.27,237,0.25,11442,11.83,9787,10.12,97,0.1,1262,1.3
SK0211,District of Dunajská Streda,124669,53516,42.93,7763,6.23,446,0.36,1215,0.97,4321,3.47,3869,3.1,1727,1.39,6903,5.54,23369,18.74,116,0.09,10755,8.63,8236,6.61,254,0.2,2179,1.75
SK0212,District of Galanta,95124,40855,42.95,5765,6.06,359,0.38,874,0.92,2414,2.54,2922,3.07,1448,1.52,5376,5.65,18996,19.97,97,0.1,7947,8.35,6053,6.36,241,0.25,1777,1.87
SK0213,District of Hlohovec,44015,18720,42.53,2360,5.36,172,0.39,415,0.94,1000,2.27,1478,3.36,844,1.92,2047,4.65,9603,21.82,59,0.13,3848,8.74,2761,6.27,54,0.12,654,1.49
SK0214,District of Piešťany,63032,25265,40.08,4905,7.78,227,0.36,540,0.86,1613,2.56,1993,3.16,1036,1.64,3132,4.97,14066,22.32,102,0.16,5039,7.99,3862,6.13,69,0.11,1183,1.88
SK0215,District of Senica,59749,25115,42.03,3464,5.8,211,0.35,531,0.89,2497,4.18,1934,3.24,885,1.48,2696,4.51,12280,20.55,58,0.1,5308,8.88,3827,6.41,79,0.13,864,1.45
SK0216,District of Skalica,47525,20219,42.54,2862,6.02,214,0.45,387,0.81,1311,2.76,1496,3.15,654,1.38,2135,4.49,9572,20.14,53,0.11,4274,8.99,3141,6.61,47,0.1,1160,2.44
SK0217,District of Trnava,131894,56474,42.82,7911,6,616,0.47,1486,1.13,3314,2.51,4217,3.2,2662,2.02,5922,4.49,25879,19.62,215,0.16,11572,8.77,9379,7.11,180,0.14,2067,1.57
SK0221,District of Bánovce nad Bebravou,35967,15523,43.16,2071,5.76,118,0.33,269,0.75,1154,3.21,1218,3.39,652,1.81,1628,4.53,7552,21,42,0.12,3123,8.68,2162,6.01,56,0.16,399,1.11
SK0222,District of Ilava,58058,25371,43.7,3828,6.59,252,0.43,449,0.77,1473,2.54,1755,3.02,991,1.71,2415,4.16,11957,20.59,56,0.1,4815,8.29,3701,6.37,72,0.12,923,1.59
SK0223,District of Myjava,25678,10487,40.84,2046,7.97,89,0.35,221,0.86,699,2.72,742,2.89,357,1.39,1060,4.13,6158,23.98,28,0.11,1960,7.63,1432,5.58,43,0.17,356,1.39
SK0224,District of Nové Mesto nad Váhom,61840,26378,42.66,3929,6.35,262,0.42,499,0.81,1668,2.7,1970,3.19,990,1.6,2709,4.38,13352,21.59,68,0.11,5235,8.47,3989,6.45,82,0.13,709,1.15
