Kód,Territory unit,Total,with no completed school education (aged 0-14) (abs.),with no completed school education (aged 0-14) (%),Primary education (abs.),Primary education (%),Secondary technical (vocational) education (with no graduation) (abs.),Secondary technical (vocational) education (with no graduation) (%),Complete secondary education (with graduation) (abs.),Complete secondary education (with graduation) (%),Higher technical education (abs.),Higher technical education (%),Higher education (abs.),Higher education (%),with no school education (aged 15+) (abs.),with no school education (aged 15+) (%),not found out (abs.),not found out (%)
SK0101,District of Bratislava I,46080,5199,11.28,3715,8.06,2070,4.49,7262,15.76,1703,3.7,22446,48.71,31,0.07,3654,7.93
SK0102,District of Bratislava II,125179,14408,11.51,13166,10.52,12782,10.21,28178,22.51,6104,4.88,43129,34.45,174,0.14,7238,5.78
SK0103,District of Bratislava III,76270,9459,12.4,7341,9.63,6724,8.82,15620,20.48,3341,4.38,28690,37.62,84,0.11,5011,6.57
SK0104,District of Bratislava IV,105245,12112,11.51,10510,9.99,9442,8.97,23346,22.18,5058,4.81,39758,37.78,118,0.11,4901,4.66
SK0105,District of Bratislava V,122729,14243,11.61,11835,9.64,14590,11.89,28628,23.33,6774,5.52,40068,32.65,137,0.11,6454,5.26
SK0106,District of Malacky,78136,9944,12.73,13724,17.56,15627,20,18499,23.68,3788,4.85,13070,16.73,171,0.22,3313,4.24
SK0107,District of Pezinok,69183,9050,13.08,9316,13.47,11237,16.24,17086,24.7,3632,5.25,16295,23.55,162,0.23,2405,3.48
SK0108,District of Senec,96715,15497,16.02,13668,14.13,12520,12.95,21921,22.67,4797,4.96,24906,25.75,112,0.12,3294,3.41
SK0211,District of Dunajská Streda,124669,13167,10.56,24530,19.68,29040,23.29,28309,22.71,6989,5.61,17258,13.84,447,0.36,4929,3.95
SK0212,District of Galanta,95124,9650,10.14,18347,19.29,22378,23.53,23207,24.4,5121,5.38,12470,13.11,247,0.26,3704,3.89
SK0213,District of Hlohovec,44015,4497,10.22,7002,15.91,10353,23.52,11571,26.29,2272,5.16,6580,14.95,106,0.24,1634,3.71
SK0214,District of Piešťany,63032,6167,9.78,8598,13.64,12894,20.46,16691,26.48,3818,6.06,11979,19,115,0.18,2770,4.39
SK0215,District of Senica,59749,6257,10.47,11169,18.69,14546,24.35,15115,25.3,2887,4.83,7681,12.86,238,0.4,1856,3.11
SK0216,District of Skalica,47525,5154,10.84,8697,18.3,11040,23.23,11522,24.24,2305,4.85,6538,13.76,135,0.28,2134,4.49
SK0217,District of Trnava,131894,14888,11.29,17997,13.65,26065,19.76,33404,25.33,7055,5.35,27014,20.48,215,0.16,5256,3.99
SK0221,District of Bánovce nad Bebravou,35967,3612,10.04,5312,14.77,9468,26.32,9548,26.55,1881,5.23,4929,13.7,63,0.18,1154,3.21
SK0222,District of Ilava,58058,5958,10.26,7396,12.74,12853,22.14,15853,27.31,3238,5.58,10221,17.6,147,0.25,2392,4.12
SK0223,District of Myjava,25678,2337,9.1,3664,14.27,6257,24.37,7318,28.5,1458,5.68,3719,14.48,57,0.22,868,3.38
SK0224,District of Nové Mesto nad Váhom,61840,6398,10.35,9026,14.6,14287,23.1,17239,27.88,3099,5.01,9581,15.49,134,0.22,2076,3.36
SK0225,District of Partizánske,44515,4226,9.49,7592,17.05,11036,24.79,11502,25.84,2409,5.41,5965,13.4,74,0.17,1711,3.84
SK0226,District of Považská Bystrica,61617,6449,10.47,7802,12.66,13335,21.64,17115,27.78,3362,5.46,11304,18.35,121,0.2,2129,3.46
SK0227,District of Prievidza,131693,12137,9.22,19502,14.81,32763,24.88,34993,26.57,6954,5.28,19252,14.62,269,0.2,5823,4.42
SK0228,District of Púchov,44319,4791,10.81,6243,14.09,10058,22.69,12064,27.22,2667,6.02,6987,15.77,99,0.22,1410,3.18
SK0229,District of Trenčín,113777,11951,10.5,13979,12.29,23194,20.39,30138,26.49,6265,5.51,24340,21.39,215,0.19,3695,3.25
SK0231,District of Komárno,100952,9140,9.05,21616,21.41,23544,23.32,23334,23.11,4931,4.88,12470,12.35,293,0.29,5624,5.57
SK0232,District of Levice,110469,10518,9.52,21228,19.22,24401,22.09,27610,24.99,5225,4.73,15875,14.37,362,0.33,5250,4.75
