Kód,Territory unit,Total,Slovak (abs.),Slovak (%),Hungarian (abs.),Hungarian (%),Romani (abs.),Romani (%),Ruthenian (abs.),Ruthenian (%),Czech (abs.),Czech (%),Ukrainian (abs.),Ukrainian (%),German (abs.),German (%),Moravian (abs.),Moravian (%),Polish (abs.),Polish (%),Russian (abs.),Russian (%),Vietnamese (abs.),Vietnamese (%),Bulgarian (abs.),Bulgarian (%),Croatian (abs.),Croatian (%),Serbian (abs.),Serbian (%),Jewish (abs.),Jewish (%),Romanian (abs.),Romanian (%),Albanian (abs.),Albanian (%),Austrian (abs.),Austrian (%),Greek (abs.),Greek (%),Silesian (abs.),Silesian (%),Chinese (abs.),Chinese (%),Italian (abs.),Italian (%),Korean (abs.),Korean (%),English (abs.),English (%),French (abs.),French (%),Turkish (abs.),Turkish (%),Iranian (abs.),Iranian (%),Irish (abs.),Irish (%),Canadian (abs.),Canadian (%),other (abs.),other (%),not found out (abs.),not found out (%)
SK0101,District of Bratislava I,46080,36830,79.93,941,2.04,25,0.05,70,0.15,538,1.17,211,0.46,164,0.36,22,0.05,67,0.15,165,0.36,17,0.04,63,0.14,26,0.06,31,0.07,70,0.15,31,0.07,27,0.06,31,0.07,58,0.13,1,0,6,0.01,126,0.27,17,0.04,23,0.05,85,0.18,16,0.03,21,0.05,11,0.02,10,0.02,552,1.2,5825,12.64
SK0102,District of Bratislava II,125179,105099,83.96,4431,3.54,77,0.06,194,0.15,1139,0.91,336,0.27,185,0.15,61,0.05,127,0.1,211,0.17,175,0.14,124,0.1,65,0.05,92,0.07,34,0.03,68,0.05,66,0.05,43,0.03,50,0.04,2,0,221,0.18,101,0.08,12,0.01,11,0.01,50,0.04,19,0.02,12,0.01,12,0.01,4,0,604,0.48,11554,9.23
SK0103,District of Bratislava III,76270,64207,84.18,1207,1.58,17,0.02,111,0.15,788,1.03,292,0.38,108,0.14,37,0.05,87,0.11,197,0.26,556,0.73,53,0.07,32,0.04,52,0.07,30,0.04,65,0.09,27,0.04,24,0.03,28,0.04,2,0,96,0.13,67,0.09,33,0.04,14,0.02,60,0.08,17,0.02,7,0.01,6,0.01,2,0,459,0.6,7589,9.95
SK0104,District of Bratislava IV,105245,92571,87.96,1642,1.56,28,0.03,171,0.16,1172,1.11,311,0.3,173,0.16,58,0.06,118,0.11,253,0.24,17,0.02,144,0.14,66,0.06,62,0.06,12,0.01,54,0.05,22,0.02,19,0.02,12,0.01,7,0.01,30,0.03,74,0.07,29,0.03,10,0.01,34,0.03,21,0.02,7,0.01,8,0.01,6,0.01,489,0.46,7625,7.24
SK0105,District of Bratislava V,122729,106354,86.66,3076,2.51,68,0.06,189,0.15,1109,0.9,274,0.22,118,0.1,57,0.05,121,0.1,185,0.15,16,0.01,68,0.06,332,0.27,63,0.05,24,0.02,32,0.03,52,0.04,38,0.03,25,0.02,8,0.01,40,0.03,55,0.04,4,0,11,0.01,42,0.03,11,0.01,0,0,13,0.01,2,0,437,0.36,9905,8.07
SK0106,District of Malacky,78136,71293,91.24,311,0.4,175,0.22,60,0.08,607,0.78,113,0.14,49,0.06,20,0.03,52,0.07,54,0.07,51,0.07,12,0.02,23,0.03,41,0.05,3,0,82,0.1,20,0.03,24,0.03,1,0,1,0,13,0.02,21,0.03,1,0,5,0.01,5,0.01,5,0.01,6,0.01,3,0,1,0,140,0.18,4944,6.33
SK0107,District of Pezinok,69183,64061,92.6,334,0.48,19,0.03,61,0.09,428,0.62,123,0.18,46,0.07,20,0.03,32,0.05,65,0.09,43,0.06,27,0.04,31,0.04,24,0.03,7,0.01,28,0.04,6,0.01,13,0.02,6,0.01,3,0,6,0.01,22,0.03,0,0,6,0.01,8,0.01,2,0,0,0,7,0.01,1,0,149,0.22,3605,5.21
SK0108,District of Senec,96715,79747,82.46,8715,9.01,51,0.05,138,0.14,648,0.67,330,0.34,109,0.11,24,0.02,69,0.07,130,0.13,112,0.12,35,0.04,29,0.03,47,0.05,15,0.02,73,0.08,29,0.03,29,0.03,24,0.02,0,0,37,0.04,43,0.04,13,0.01,16,0.02,19,0.02,14,0.01,1,0,4,0,2,0,378,0.39,5834,6.03
SK0211,District of Dunajská Streda,124669,30728,24.65,85586,68.65,1225,0.98,25,0.02,588,0.47,148,0.12,66,0.05,22,0.02,49,0.04,81,0.06,43,0.03,20,0.02,11,0.01,27,0.02,18,0.01,33,0.03,12,0.01,14,0.01,9,0.01,1,0,18,0.01,20,0.02,0,0,12,0.01,8,0.01,16,0.01,16,0.01,1,0,1,0,192,0.15,5679,4.56
SK0212,District of Galanta,95124,60009,63.09,29582,31.1,154,0.16,24,0.03,391,0.41,61,0.06,46,0.05,9,0.01,32,0.03,32,0.03,82,0.09,12,0.01,8,0.01,33,0.03,12,0.01,103,0.11,7,0.01,13,0.01,3,0,0,0,1,0,28,0.03,7,0.01,10,0.01,4,0,3,0,0,0,1,0,1,0,98,0.1,4358,4.58
