Kód,Territory unit,Total,urban (abs.),urban (%),rural (abs.),rural (%)
SK0101,District of Bratislava I,46080,46080,100,0,0
SK0102,District of Bratislava II,125179,125179,100,0,0
SK0103,District of Bratislava III,76270,76270,100,0,0
SK0104,District of Bratislava IV,105245,105245,100,0,0
SK0105,District of Bratislava V,122729,122729,100,0,0
SK0106,District of Malacky,78136,31530,40.35,46606,59.65
SK0107,District of Pezinok,69183,40187,58.09,28996,41.91
SK0108,District of Senec,96715,20116,20.8,76599,79.2
SK0211,District of Dunajská Streda,124669,50350,40.39,74319,59.61
SK0212,District of Galanta,95124,36204,38.06,58920,61.94
SK0213,District of Hlohovec,44015,24529,55.73,19486,44.27
SK0214,District of Piešťany,63032,33420,53.02,29612,46.98
SK0215,District of Senica,59749,24854,41.6,34895,58.4
SK0216,District of Skalica,47525,31708,66.72,15817,33.28
SK0217,District of Trnava,131894,63803,48.37,68091,51.63
SK0221,District of Bánovce nad Bebravou,35967,17311,48.13,18656,51.87
SK0222,District of Ilava,58058,39051,67.26,19007,32.74
SK0223,District of Myjava,25678,15833,61.66,9845,38.34
SK0224,District of Nové Mesto nad Váhom,61840,28368,45.87,33472,54.13
SK0225,District of Partizánske,44515,21439,48.16,23076,51.84
SK0226,District of Považská Bystrica,61617,38641,62.71,22976,37.29
SK0227,District of Prievidza,131693,70391,53.45,61302,46.55
SK0228,District of Púchov,44319,17472,39.42,26847,60.58
SK0229,District of Trenčín,113777,65055,57.18,48722,42.82
SK0231,District of Komárno,100952,56020,55.49,44932,44.51
SK0232,District of Levice,110469,49634,44.93,60835,55.07
SK0233,District of Nitra,164788,87082,52.84,77706,47.16
SK0234,District of Nové Zámky,138168,57130,41.35,81038,58.65
SK0235,District of Šaľa,51477,21183,41.15,30294,58.85
SK0236,District of Topoľčany,70877,25249,35.62,45628,64.38
SK0237,District of Zlaté Moravce,41169,11946,29.02,29223,70.98
SK0311,District of Bytča,31154,11414,36.64,19740,63.36
SK0312,District of Čadca,88642,37237,42.01,51405,57.99
SK0313,District of Dolný Kubín,39026,18095,46.37,20931,53.63
SK0314,District of Kysucké Nové Mesto,32699,14660,44.83,18039,55.17
SK0315,District of Liptovský Mikuláš,71935,37676,52.38,34259,47.62
SK0316,District of Martin,94376,64224,68.05,30152,31.95
SK0317,District of Námestovo,63200,7722,12.22,55478,87.78
SK0318,District of Ružomberok,57392,27407,47.75,29985,52.25
SK0319,District of Turčianske Teplice,15956,6412,40.19,9544,59.81
SK031A,District of Tvrdošín,35856,16165,45.08,19691,54.92
SK031B,District of Žilina,161377,91394,56.63,69983,43.37
SK0321,District of Banská Bystrica,108730,76018,69.91,32712,30.09
SK0322,District of Banská Štiavnica,15649,9628,61.52,6021,38.48
SK0323,District of Brezno,59446,20061,33.75,39385,66.25
SK0324,District of Detva,31034,21137,68.11,9897,31.89
SK0325,District of Krupina,21517,8956,41.62,12561,58.38
SK0326,District of Lučenec,70422,35851,50.91,34571,49.09
SK0327,District of Poltár,20634,5333,25.85,15301,74.15
SK0328,District of Revúca,38669,21664,56.02,17005,43.98
SK0329,District of Rimavská Sobota,80666,32530,40.33,48136,59.67
SK032A,District of Veľký Krtíš,41998,12648,30.12,29350,69.88
SK032B,District of Zvolen,66750,45531,68.21,21219,31.79
SK032C,District of Žarnovica,25242,12837,50.86,12405,49.14
SK032D,District of Žiar nad Hronom,44844,22512,50.2,22332,49.8
SK0411,District of Bardejov,76012,30840,40.57,45172,59.43
SK0412,District of Humenné,60126,31359,52.16,28767,47.84
SK0413,District of Kežmarok,73685,24400,33.11,49285,66.89
SK0414,District of Levoča,33107,18047,54.51,15060,45.49
SK0415,District of Medzilaborce,11056,5965,53.95,5091,46.05
SK0416,District of Poprad,102744,61499,59.86,41245,40.14
SK0417,District of Prešov,172804,91295,52.83,81509,47.17
SK0418,District of Sabinov,60389,18829,31.18,41560,68.82
SK0419,District of Snina,35125,18712,53.27,16413,46.73
SK041A,District of Stará Ľubovňa,52968,19046,35.96,33922,64.04
SK041B,District of Stropkov,19878,10067,50.64,9811,49.36
SK041C,District of Svidník,31611,14169,44.82,17442,55.18
SK041D,District of Vranov nad Topľou,79426,25025,31.51,54401,68.49
SK0421,District of Gelnica,31698,5951,18.77,25747,81.23
SK0422,District of Košice I,64453,64453,100,0,0
SK0423,District of Košice II,79437,79437,100,0,0
SK0424,District of Košice III,28135,28135,100,0,0
SK0425,District of Košice IV,57015,57015,100,0,0
SK0426,District of Košice - okolie,128346,14412,11.23,113934,88.77
SK0427,District of Michalovce,108954,49780,45.69,59174,54.31
SK0428,District of Rožňava,59345,22671,38.2,36674,61.8
SK0429,District of Sobrance,22440,5875,26.18,16565,73.82
SK042A,District of Spišská Nová Ves,98706,47557,48.18,51149,51.82
SK042B,District of Trebišov,103687,42814,41.29,60873,58.71
