,Kód okresu,Názov okresu,EDS,Únia,SRK,Paliho Kapurková,SaS,SDĽ,SMK - MKP,ĽS - HZDS,KSS,SNS,ND,ZRS,KDH,ĽSNS,SDKÚ - DS,AZEN,SMER,MOST - HÍD
0,101,Bratislava I,42,173,14,118,4159,323,202.0,631,80,700,65,9,2739,95,8161,24,4738,2772
1,102,Bratislava II,104,682,18,373,10592,1077,622.0,1753,237,2208,163,24,4666,345,17742,54,15136,5954
2,103,Bratislava III,61,303,10,279,6189,719,174.0,1086,173,1454,109,29,3090,209,10349,45,9310,2508
3,104,Bratislava IV,92,617,4,363,10257,1014,183.0,1309,185,1765,144,41,4699,313,15738,79,12888,3924
4,105,Bratislava V,111,700,24,552,12219,1433,425.0,1497,262,2325,186,43,4530,474,18882,82,15232,5133
5,106,Malacky,78,277,24,166,5741,896,10.0,994,266,1362,69,52,2270,274,6823,31,10437,810
6,107,Pezinok,51,278,8,208,5833,765,24.0,974,163,1802,131,41,2504,263,6792,16,9693,924
7,108,Senec,90,258,8,187,5524,644,1563.0,813,202,1321,98,20,2325,178,8059,21,6841,5671
8,201,Dunajská Streda,139,92,54,93,1938,360,21262.0,463,76,285,52,22,480,65,4019,16,2356,32909
9,202,Galanta,156,198,48,183,4060,862,6621.0,1391,300,1626,196,72,1603,329,5212,26,10122,13730
10,203,Hlohovec,54,120,12,114,2668,521,2.0,993,191,1237,217,48,2179,343,2788,14,9598,271
11,204,Piešťany,70,157,9,203,4771,678,8.0,1539,248,2046,340,40,3137,423,5488,17,11772,669
12,205,Senica,70,212,23,157,3714,807,9.0,1275,305,1108,277,57,2602,250,4550,27,9754,374
13,206,Skalica,57,118,27,61,3232,429,5.0,795,239,536,641,67,2111,203,4744,7,5588,253
14,207,Trnava,187,326,30,404,9185,1736,27.0,2444,379,3151,902,87,7164,817,10366,69,24100,1184
15,301,Bánovce nad Bebravou,38,95,19,81,1478,580,5.0,1045,236,1090,73,39,1595,310,1726,12,9291,147
16,302,Ilava,72,192,14,175,3447,935,4.0,1941,335,2027,92,74,2566,375,3581,11,13583,370
17,303,Myjava,17,107,4,82,1938,485,3.0,787,147,853,58,60,354,61,2128,8,5549,185
