year,district_id,district_name,category,statistic,percentage
2021,SK0101,District of Bratislava I,Age Groups,pre-productive age (aged 0-14) (%),15.19
2021,SK0102,District of Bratislava II,Age Groups,pre-productive age (aged 0-14) (%),15.35
2021,SK0103,District of Bratislava III,Age Groups,pre-productive age (aged 0-14) (%),16.47
2021,SK0104,District of Bratislava IV,Age Groups,pre-productive age (aged 0-14) (%),15.64
2021,SK0105,District of Bratislava V,Age Groups,pre-productive age (aged 0-14) (%),15.11
2021,SK0106,District of Malacky,Age Groups,pre-productive age (aged 0-14) (%),17.65
2021,SK0107,District of Pezinok,Age Groups,pre-productive age (aged 0-14) (%),18.16
2021,SK0108,District of Senec,Age Groups,pre-productive age (aged 0-14) (%),21.57
2021,SK0211,District of Dunajská Streda,Age Groups,pre-productive age (aged 0-14) (%),14.7
2021,SK0212,District of Galanta,Age Groups,pre-productive age (aged 0-14) (%),14.28
2021,SK0213,District of Hlohovec,Age Groups,pre-productive age (aged 0-14) (%),14.57
2021,SK0214,District of Piešťany,Age Groups,pre-productive age (aged 0-14) (%),13.75
2021,SK0215,District of Senica,Age Groups,pre-productive age (aged 0-14) (%),14.87
2021,SK0216,District of Skalica,Age Groups,pre-productive age (aged 0-14) (%),15.13
2021,SK0217,District of Trnava,Age Groups,pre-productive age (aged 0-14) (%),15.47
2021,SK0221,District of Bánovce nad Bebravou,Age Groups,pre-productive age (aged 0-14) (%),14.28
2021,SK0222,District of Ilava,Age Groups,pre-productive age (aged 0-14) (%),14.29
2021,SK0223,District of Myjava,Age Groups,pre-productive age (aged 0-14) (%),12.85
2021,SK0224,District of Nové Mesto nad Váhom,Age Groups,pre-productive age (aged 0-14) (%),14.57
2021,SK0225,District of Partizánske,Age Groups,pre-productive age (aged 0-14) (%),13.47
2021,SK0226,District of Považská Bystrica,Age Groups,pre-productive age (aged 0-14) (%),14.53
2021,SK0227,District of Prievidza,Age Groups,pre-productive age (aged 0-14) (%),13.2
2021,SK0228,District of Púchov,Age Groups,pre-productive age (aged 0-14) (%),14.94
2021,SK0229,District of Trenčín,Age Groups,pre-productive age (aged 0-14) (%),14.76
2021,SK0231,District of Komárno,Age Groups,pre-productive age (aged 0-14) (%),13.17
2021,SK0232,District of Levice,Age Groups,pre-productive age (aged 0-14) (%),13.64
2021,SK0233,District of Nitra,Age Groups,pre-productive age (aged 0-14) (%),14.84
2021,SK0234,District of Nové Zámky,Age Groups,pre-productive age (aged 0-14) (%),13.13
2021,SK0235,District of Šaľa,Age Groups,pre-productive age (aged 0-14) (%),14.13
2021,SK0236,District of Topoľčany,Age Groups,pre-productive age (aged 0-14) (%),13.4
2021,SK0237,District of Zlaté Moravce,Age Groups,pre-productive age (aged 0-14) (%),13.92
2021,SK0311,District of Bytča,Age Groups,pre-productive age (aged 0-14) (%),16.16
2021,SK0312,District of Čadca,Age Groups,pre-productive age (aged 0-14) (%),14.95
2021,SK0313,District of Dolný Kubín,Age Groups,pre-productive age (aged 0-14) (%),16.15
2021,SK0314,District of Kysucké Nové Mesto,Age Groups,pre-productive age (aged 0-14) (%),15.25
2021,SK0315,District of Liptovský Mikuláš,Age Groups,pre-productive age (aged 0-14) (%),14.28
2021,SK0316,District of Martin,Age Groups,pre-productive age (aged 0-14) (%),14.34
2021,SK0317,District of Námestovo,Age Groups,pre-productive age (aged 0-14) (%),21.57
2021,SK0318,District of Ružomberok,Age Groups,pre-productive age (aged 0-14) (%),14.89
2021,SK0319,District of Turčianske Teplice,Age Groups,pre-productive age (aged 0-14) (%),13.5
2021,SK031A,District of Tvrdošín,Age Groups,pre-productive age (aged 0-14) (%),17.65
2021,SK031B,District of Žilina,Age Groups,pre-productive age (aged 0-14) (%),15.97
2021,SK0321,District of Banská Bystrica,Age Groups,pre-productive age (aged 0-14) (%),14.11
2021,SK0322,District of Banská Štiavnica,Age Groups,pre-productive age (aged 0-14) (%),14.53
2021,SK0323,District of Brezno,Age Groups,pre-productive age (aged 0-14) (%),14.48
2021,SK0324,District of Detva,Age Groups,pre-productive age (aged 0-14) (%),13.77
2021,SK0325,District of Krupina,Age Groups,pre-productive age (aged 0-14) (%),15.4
2021,SK0326,District of Lučenec,Age Groups,pre-productive age (aged 0-14) (%),15.44
2021,SK0327,District of Poltár,Age Groups,pre-productive age (aged 0-14) (%),13.73
2021,SK0328,District of Revúca,Age Groups,pre-productive age (aged 0-14) (%),17.45
2021,SK0329,District of Rimavská Sobota,Age Groups,pre-productive age (aged 0-14) (%),18.0
2021,SK032A,District of Veľký Krtíš,Age Groups,pre-productive age (aged 0-14) (%),13.62
2021,SK032B,District of Zvolen,Age Groups,pre-productive age (aged 0-14) (%),14.12
2021,SK032C,District of Žarnovica,Age Groups,pre-productive age (aged 0-14) (%),13.76
2021,SK032D,District of Žiar nad Hronom,Age Groups,pre-productive age (aged 0-14) (%),13.72
2021,SK0411,District of Bardejov,Age Groups,pre-productive age (aged 0-14) (%),17.31
2021,SK0412,District of Humenné,Age Groups,pre-productive age (aged 0-14) (%),13.68
2021,SK0413,District of Kežmarok,Age Groups,pre-productive age (aged 0-14) (%),23.83
2021,SK0414,District of Levoča,Age Groups,pre-productive age (aged 0-14) (%),18.25
2021,SK0415,District of Medzilaborce,Age Groups,pre-productive age (aged 0-14) (%),13.58
2021,SK0416,District of Poprad,Age Groups,pre-productive age (aged 0-14) (%),16.7
2021,SK0417,District of Prešov,Age Groups,pre-productive age (aged 0-14) (%),18.29
2021,SK0418,District of Sabinov,Age Groups,pre-productive age (aged 0-14) (%),22.59
2021,SK0419,District of Snina,Age Groups,pre-productive age (aged 0-14) (%),13.41
2021,SK041A,District of Stará Ľubovňa,Age Groups,pre-productive age (aged 0-14) (%),20.4
2021,SK041B,District of Stropkov,Age Groups,pre-productive age (aged 0-14) (%),15.58
2021,SK041C,District of Svidník,Age Groups,pre-productive age (aged 0-14) (%),15.35
2021,SK041D,District of Vranov nad Topľou,Age Groups,pre-productive age (aged 0-14) (%),19.12
2021,SK0421,District of Gelnica,Age Groups,pre-productive age (aged 0-14) (%),21.35
2021,SK0422,District of Košice I,Age Groups,pre-productive age (aged 0-14) (%),13.77
2021,SK0423,District of Košice II,Age Groups,pre-productive age (aged 0-14) (%),15.86
2021,SK0424,District of Košice III,Age Groups,pre-productive age (aged 0-14) (%),14.95
2021,SK0425,District of Košice IV,Age Groups,pre-productive age (aged 0-14) (%),14.48
2021,SK0426,District of Košice - okolie,Age Groups,pre-productive age (aged 0-14) (%),20.19
2021,SK0427,District of Michalovce,Age Groups,pre-productive age (aged 0-14) (%),16.84
2021,SK0428,District of Rožňava,Age Groups,pre-productive age (aged 0-14) (%),16.78
2021,SK0429,District of Sobrance,Age Groups,pre-productive age (aged 0-14) (%),15.39
2021,SK042A,District of Spišská Nová Ves,Age Groups,pre-productive age (aged 0-14) (%),20.74
2021,SK042B,District of Trebišov,Age Groups,pre-productive age (aged 0-14) (%),17.6
2021,SK0101,District of Bratislava I,Age Groups,productive age (aged 15-64) (%),63.31
2021,SK0102,District of Bratislava II,Age Groups,productive age (aged 15-64) (%),65.38
2021,SK0103,District of Bratislava III,Age Groups,productive age (aged 15-64) (%),65.36
2021,SK0104,District of Bratislava IV,Age Groups,productive age (aged 15-64) (%),66.28
2021,SK0105,District of Bratislava V,Age Groups,productive age (aged 15-64) (%),65.83
2021,SK0106,District of Malacky,Age Groups,productive age (aged 15-64) (%),66.72
2021,SK0107,District of Pezinok,Age Groups,productive age (aged 15-64) (%),66.12
2021,SK0108,District of Senec,Age Groups,productive age (aged 15-64) (%),65.65
2021,SK0211,District of Dunajská Streda,Age Groups,productive age (aged 15-64) (%),68.88
