party_name,color
Strana zelených,#33CC33
SDKÚ-DS,#003399
SDPO,#808080
SDĽ,#ED1C24
SMER-SD,#CC0000
ĽS-HZDS,#005DA3
OKS,#FFCC00
HZD,#8B0000
ROMA,#808080
KSS,#FF0000
SMK / Aliancia,#00914D
KDH,#1E3E84
ĽS,#808080
ZRS,#CC0000
Ľavicový blok,#FF0000
ANO,#FDDA0D
B-RRS,#808080
ŽAR,#808080
SDA,#E3001B
SNJ,#808080
NOSP,#808080
SNS,#0B4EA2
ROSA,#808080
ROISR,#808080
P SNS,#808080
S.O.S.,#2BB1DE
Misia 21,#808080
SLNKO,#808080
Slobodné fórum,#005DA3
Prosperita Slovenska,#808080
ASV,#808080
Slovenská ľudová strana,#8B4513
Nádej,#808080
EDS,#808080
Únia,#808080
SRK,#808080
Paliho Kapurková,#808080
SaS,#7AC143
ND,#808080
Ľudová strana Naše Slovensko,#00611C
AZEN,#808080
Most-Híd,#FF6600
OĽANO / SLOVENSKO,#8DC63F
PaS,#808080
NÁŠ KRAJ,#808080
"Zmena zdola, DÚ",#0A33FF
NaS - ns,#808080
SRÚS,#808080
99 % - občiansky hlas,#FFD700
+1 HLAS,#808080
SOSKA,#808080
SSS - NM,#808080
SŽS,#808080
Strana TIP,#E6007E
Strana moderného Slovenska,#808080
Demokratická strana,#002366
Šanca,#1D5F8F
Sme Rodina,#00A4AC
KOALÍCIA SPOLOČNE ZA SLOVENSKO,#808080
MKDA-MKDSZ,#808080
VZDOR,#990000
Odvaha - Veľká národná a proruská koalícia,#808080
SKOK!,#808080
#SIEŤ,#00AEEF
PRIAMA DEMOKRACIA,#708090
Dobrá voľba,#E3001B
Slovenské Hnutie Obrody,#0B4EA2
ZA ĽUDÍ,#FFB200
MÁME TOHO DOSŤ !,#808080
Progresívne Slovensko,#00AEEF
STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI,#808080
Slovenská liga,#808080
Vlasť,#ED1C24
SOLIDARITA - Hnutie pracujúcej chudoby,#808080
HLAS ĽUDU,#808080
Práca slovenského národa,#808080
Socialisti.sk,#E3001A
Pirátska strana - Slovensko,#000000
PRINCÍP,#808080
SPOLOČNE OBČANIA SLOVENSKA,#808080
Maďarské fórum / ODS / ZA REGIÓNY / SRK / DS,#808080
Vlastenecký blok,#C1272D
SPRAVODLIVOSŤ,#808080
MySlovensko,#808080
Hlas-SD,#E30613
SRDCE vlastenci a dôchodcovia - SLOVENSKÁ NÁRODNÁ JEDNOTA,#808080
Demokrati,#059ED5
KARMA,#808080
Republika,#1D1D1B
MFS,#808080
ŽS SR,#808080
DÚ,#808080
AŽ-OS,#808080
RKDH,#808080
NOVA / KDS / OKS,#005DA3
LIGA,#808080
Národ a Spravodlivosť - naša strana,#808080
Magnificat Slovakia,#808080
DEMOKRATICKÁ OBČIANSKA STRANA,#808080
7 STATOČNÝCH REGIONÁLNA STRANA SLOVENSKA,#808080
Maďarská kresťanskodemokratická aliancia,#808080
EURÓPSKA DEMOKRATICKÁ STRANA,#808080
NOVÝ PARLAMENT,#808080
Kresťanská SLOVENSKÁ NÁRODNÁ STRANA,#808080
Strana demokratického Slovenska,#808080
PRÁVO A SPRAVODLIVOSŤ,#808080
Úsvit,#FF0000
Strana občianskej ľavice,#808080
Kresťanská demokracia - Život a prosperita,#808080
KOREKTÚRA - Andrej Hryc,#808080
Strana práce,#808080
Strana tolerancie a spolunažívania,#808080
DOPRAVA,#808080
Strana rómskej koalície - SRK,#808080
SLOVENSKÁ KONZERVATÍVNA STRANA,#808080
SLOVENSKÁ NÁRODNÁ JEDNOTA - strana vlastencov,#808080
DOMA DOBRE,#808080
KSS / VZDOR,#FF0000
NAJ - Nezávislosť a Jednota,#808080
Kresťanská únia,#CCCCCC
Národná koalícia,#1E3E84
Slovenský PATRIOT,#808080
Spájame Občanov Slovenska - SOSK,#808080
ZDRAVÝ ROZUM,#808080
Volt Slovensko,#502379
