election_year,election_type,district_id,district_name,original_party_name,party_name,votes
2002,NR SR,101,Bratislava I,SZS,Strana zelených,258
2002,NR SR,102,Bratislava II,SZS,Strana zelených,586
2002,NR SR,103,Bratislava III,SZS,Strana zelených,388
2002,NR SR,104,Bratislava IV,SZS,Strana zelených,505
2002,NR SR,105,Bratislava V,SZS,Strana zelených,808
2002,NR SR,106,Malacky,SZS,Strana zelených,394
2002,NR SR,107,Pezinok,SZS,Strana zelených,306
2002,NR SR,108,Senec,SZS,Strana zelených,260
2002,NR SR,201,Dunajská Streda,SZS,Strana zelených,363
2002,NR SR,202,Galanta,SZS,Strana zelených,399
2002,NR SR,203,Hlohovec,SZS,Strana zelených,229
2002,NR SR,204,Piešťany,SZS,Strana zelených,325
2002,NR SR,205,Senica,SZS,Strana zelených,397
2002,NR SR,206,Skalica,SZS,Strana zelených,261
2002,NR SR,207,Trnava,SZS,Strana zelených,671
2002,NR SR,301,Bánovce nad Bebravou,SZS,Strana zelených,188
2002,NR SR,302,Ilava,SZS,Strana zelených,499
2002,NR SR,303,Myjava,SZS,Strana zelených,160
2002,NR SR,304,Nové Mesto nad Váhom,SZS,Strana zelených,453
2002,NR SR,305,Partizánske,SZS,Strana zelených,222
2002,NR SR,306,Považská Bystrica,SZS,Strana zelených,545
2002,NR SR,307,Prievidza,SZS,Strana zelených,784
2002,NR SR,308,Púchov,SZS,Strana zelených,224
2002,NR SR,309,Trenčín,SZS,Strana zelených,616
2002,NR SR,401,Komárno,SZS,Strana zelených,391
2002,NR SR,402,Levice,SZS,Strana zelených,588
2002,NR SR,403,Nitra,SZS,Strana zelených,789
2002,NR SR,404,Nové Zámky,SZS,Strana zelených,631
2002,NR SR,405,Šaľa,SZS,Strana zelených,230
2002,NR SR,406,Topoľčany,SZS,Strana zelených,397
2002,NR SR,407,Zlaté Moravce,SZS,Strana zelených,187
2002,NR SR,501,Bytča,SZS,Strana zelených,75
2002,NR SR,502,Čadca,SZS,Strana zelených,241
2002,NR SR,503,Dolný Kubín,SZS,Strana zelených,115
2002,NR SR,504,Kysucké Nové Mesto,SZS,Strana zelených,93
2002,NR SR,505,Liptovský Mikuláš,SZS,Strana zelených,336
2002,NR SR,506,Martin,SZS,Strana zelených,535
2002,NR SR,507,Námestovo,SZS,Strana zelených,125
2002,NR SR,508,Ružomberok,SZS,Strana zelených,232
2002,NR SR,509,Turčianske Teplice,SZS,Strana zelených,124
2002,NR SR,510,Tvrdošín,SZS,Strana zelených,79
2002,NR SR,511,Žilina,SZS,Strana zelených,512
2002,NR SR,601,Banská Bystrica,SZS,Strana zelených,750
2002,NR SR,602,Banská Štiavnica,SZS,Strana zelených,79
2002,NR SR,603,Brezno,SZS,Strana zelených,305
2002,NR SR,604,Detva,SZS,Strana zelených,131
2002,NR SR,605,Krupina,SZS,Strana zelených,103
2002,NR SR,606,Lučenec,SZS,Strana zelených,444
2002,NR SR,607,Poltár,SZS,Strana zelených,108
2002,NR SR,608,Revúca,SZS,Strana zelených,253
2002,NR SR,609,Rimavská Sobota,SZS,Strana zelených,544
2002,NR SR,610,Veľký Krtíš,SZS,Strana zelených,316
2002,NR SR,611,Zvolen,SZS,Strana zelených,411
2002,NR SR,612,Žarnovica,SZS,Strana zelených,110
2002,NR SR,613,Žiar nad Hronom,SZS,Strana zelených,264
2002,NR SR,701,Bardejov,SZS,Strana zelených,407
2002,NR SR,702,Humenné,SZS,Strana zelených,260
2002,NR SR,703,Kežmarok,SZS,Strana zelených,379
2002,NR SR,704,Levoča,SZS,Strana zelených,184
2002,NR SR,705,Medzilaborce,SZS,Strana zelených,78
2002,NR SR,706,Poprad,SZS,Strana zelených,583
2002,NR SR,707,Prešov,SZS,Strana zelených,917
2002,NR SR,708,Sabinov,SZS,Strana zelených,478
2002,NR SR,709,Snina,SZS,Strana zelených,174
2002,NR SR,710,Stará Ľubovňa,SZS,Strana zelených,332
2002,NR SR,711,Stropkov,SZS,Strana zelených,112
2002,NR SR,712,Svidník,SZS,Strana zelených,179
2002,NR SR,713,Vranov nad Topľou,SZS,Strana zelených,323
2002,NR SR,801,Gelnica,SZS,Strana zelených,314
2002,NR SR,802,Košice I,SZS,Strana zelených,360
2002,NR SR,803,Košice II,SZS,Strana zelených,402
2002,NR SR,804,Košice III,SZS,Strana zelených,193
2002,NR SR,805,Košice IV,SZS,Strana zelených,353
2002,NR SR,806,Košice - okolie,SZS,Strana zelených,742
2002,NR SR,807,Michalovce,SZS,Strana zelených,530
2002,NR SR,808,Rožňava,SZS,Strana zelených,320
2002,NR SR,809,Sobrance,SZS,Strana zelených,161
2002,NR SR,810,Spišská Nová Ves,SZS,Strana zelených,607
2002,NR SR,811,Trebišov,SZS,Strana zelených,638
2002,NR SR,900,Cudzina,SZS,Strana zelených,0
2002,NR SR,101,Bratislava I,SDKÚ,SDKÚ-DS,12400
2002,NR SR,102,Bratislava II,SDKÚ,SDKÚ-DS,22222
2002,NR SR,103,Bratislava III,SDKÚ,SDKÚ-DS,13209
2002,NR SR,104,Bratislava IV,SDKÚ,SDKÚ-DS,20036
2002,NR SR,105,Bratislava V,SDKÚ,SDKÚ-DS,25795
2002,NR SR,106,Malacky,SDKÚ,SDKÚ-DS,7624
2002,NR SR,107,Pezinok,SDKÚ,SDKÚ-DS,7349
2002,NR SR,108,Senec,SDKÚ,SDKÚ-DS,5901
2002,NR SR,201,Dunajská Streda,SDKÚ,SDKÚ-DS,2581
2002,NR SR,202,Galanta,SDKÚ,SDKÚ-DS,4957
2002,NR SR,203,Hlohovec,SDKÚ,SDKÚ-DS,2894
2002,NR SR,204,Piešťany,SDKÚ,SDKÚ-DS,6309
2002,NR SR,205,Senica,SDKÚ,SDKÚ-DS,4860
2002,NR SR,206,Skalica,SDKÚ,SDKÚ-DS,4930
2002,NR SR,207,Trnava,SDKÚ,SDKÚ-DS,11278
2002,NR SR,301,Bánovce nad Bebravou,SDKÚ,SDKÚ-DS,1540
2002,NR SR,302,Ilava,SDKÚ,SDKÚ-DS,3347
2002,NR SR,303,Myjava,SDKÚ,SDKÚ-DS,2143
2002,NR SR,304,Nové Mesto nad Váhom,SDKÚ,SDKÚ-DS,4630
2002,NR SR,305,Partizánske,SDKÚ,SDKÚ-DS,2703
2002,NR SR,306,Považská Bystrica,SDKÚ,SDKÚ-DS,2955
2002,NR SR,307,Prievidza,SDKÚ,SDKÚ-DS,8241
2002,NR SR,308,Púchov,SDKÚ,SDKÚ-DS,2539
2002,NR SR,309,Trenčín,SDKÚ,SDKÚ-DS,10318
2002,NR SR,401,Komárno,SDKÚ,SDKÚ-DS,2925
2002,NR SR,402,Levice,SDKÚ,SDKÚ-DS,6964
2002,NR SR,403,Nitra,SDKÚ,SDKÚ-DS,12612
2002,NR SR,404,Nové Zámky,SDKÚ,SDKÚ-DS,6521
2002,NR SR,405,Šaľa,SDKÚ,SDKÚ-DS,3305
2002,NR SR,406,Topoľčany,SDKÚ,SDKÚ-DS,3610
2002,NR SR,407,Zlaté Moravce,SDKÚ,SDKÚ-DS,1768
2002,NR SR,501,Bytča,SDKÚ,SDKÚ-DS,950
2002,NR SR,502,Čadca,SDKÚ,SDKÚ-DS,2561
2002,NR SR,503,Dolný Kubín,SDKÚ,SDKÚ-DS,2716
2002,NR SR,504,Kysucké Nové Mesto,SDKÚ,SDKÚ-DS,1030
2002,NR SR,505,Liptovský Mikuláš,SDKÚ,SDKÚ-DS,5094
2002,NR SR,506,Martin,SDKÚ,SDKÚ-DS,9738
2002,NR SR,507,Námestovo,SDKÚ,SDKÚ-DS,1740
2002,NR SR,508,Ružomberok,SDKÚ,SDKÚ-DS,3909
2002,NR SR,509,Turčianske Teplice,SDKÚ,SDKÚ-DS,1064
2002,NR SR,510,Tvrdošín,SDKÚ,SDKÚ-DS,1294
2002,NR SR,511,Žilina,SDKÚ,SDKÚ-DS,12266
2002,NR SR,601,Banská Bystrica,SDKÚ,SDKÚ-DS,13903
2002,NR SR,602,Banská Štiavnica,SDKÚ,SDKÚ-DS,973
2002,NR SR,603,Brezno,SDKÚ,SDKÚ-DS,3573
2002,NR SR,604,Detva,SDKÚ,SDKÚ-DS,1240
2002,NR SR,605,Krupina,SDKÚ,SDKÚ-DS,1074
2002,NR SR,606,Lučenec,SDKÚ,SDKÚ-DS,4253
2002,NR SR,607,Poltár,SDKÚ,SDKÚ-DS,810
2002,NR SR,608,Revúca,SDKÚ,SDKÚ-DS,1606
2002,NR SR,609,Rimavská Sobota,SDKÚ,SDKÚ-DS,2562
2002,NR SR,610,Veľký Krtíš,SDKÚ,SDKÚ-DS,2197
2002,NR SR,611,Zvolen,SDKÚ,SDKÚ-DS,6301
2002,NR SR,612,Žarnovica,SDKÚ,SDKÚ-DS,1205
2002,NR SR,613,Žiar nad Hronom,SDKÚ,SDKÚ-DS,2869
2002,NR SR,701,Bardejov,SDKÚ,SDKÚ-DS,5150
2002,NR SR,702,Humenné,SDKÚ,SDKÚ-DS,3668
2002,NR SR,703,Kežmarok,SDKÚ,SDKÚ-DS,4842
2002,NR SR,704,Levoča,SDKÚ,SDKÚ-DS,2398
2002,NR SR,705,Medzilaborce,SDKÚ,SDKÚ-DS,467
2002,NR SR,706,Poprad,SDKÚ,SDKÚ-DS,10930
2002,NR SR,707,Prešov,SDKÚ,SDKÚ-DS,18036
2002,NR SR,708,Sabinov,SDKÚ,SDKÚ-DS,2912
2002,NR SR,709,Snina,SDKÚ,SDKÚ-DS,1515
2002,NR SR,710,Stará Ľubovňa,SDKÚ,SDKÚ-DS,2177
2002,NR SR,711,Stropkov,SDKÚ,SDKÚ-DS,799
2002,NR SR,712,Svidník,SDKÚ,SDKÚ-DS,1252
2002,NR SR,713,Vranov nad Topľou,SDKÚ,SDKÚ-DS,2928
2002,NR SR,801,Gelnica,SDKÚ,SDKÚ-DS,1503
2002,NR SR,802,Košice I,SDKÚ,SDKÚ-DS,10697
2002,NR SR,803,Košice II,SDKÚ,SDKÚ-DS,10596
2002,NR SR,804,Košice III,SDKÚ,SDKÚ-DS,4148
2002,NR SR,805,Košice IV,SDKÚ,SDKÚ-DS,8585
2002,NR SR,806,Košice - okolie,SDKÚ,SDKÚ-DS,7804
2002,NR SR,807,Michalovce,SDKÚ,SDKÚ-DS,5300
2002,NR SR,808,Rožňava,SDKÚ,SDKÚ-DS,2901
2002,NR SR,809,Sobrance,SDKÚ,SDKÚ-DS,806
2002,NR SR,810,Spišská Nová Ves,SDKÚ,SDKÚ-DS,6918
2002,NR SR,811,Trebišov,SDKÚ,SDKÚ-DS,4227
2002,NR SR,900,Cudzina,SDKÚ,SDKÚ-DS,0
2002,NR SR,101,Bratislava I,SDPO,SDPO,23
2002,NR SR,102,Bratislava II,SDPO,SDPO,82
2002,NR SR,103,Bratislava III,SDPO,SDPO,42
2002,NR SR,104,Bratislava IV,SDPO,SDPO,71
2002,NR SR,105,Bratislava V,SDPO,SDPO,84
2002,NR SR,106,Malacky,SDPO,SDPO,74
2002,NR SR,107,Pezinok,SDPO,SDPO,60
2002,NR SR,108,Senec,SDPO,SDPO,27
2002,NR SR,201,Dunajská Streda,SDPO,SDPO,33
2002,NR SR,202,Galanta,SDPO,SDPO,73
2002,NR SR,203,Hlohovec,SDPO,SDPO,97
2002,NR SR,204,Piešťany,SDPO,SDPO,383
2002,NR SR,205,Senica,SDPO,SDPO,78
2002,NR SR,206,Skalica,SDPO,SDPO,37
2002,NR SR,207,Trnava,SDPO,SDPO,164
2002,NR SR,301,Bánovce nad Bebravou,SDPO,SDPO,19
2002,NR SR,302,Ilava,SDPO,SDPO,41
2002,NR SR,303,Myjava,SDPO,SDPO,39
2002,NR SR,304,Nové Mesto nad Váhom,SDPO,SDPO,158
2002,NR SR,305,Partizánske,SDPO,SDPO,48
2002,NR SR,306,Považská Bystrica,SDPO,SDPO,30
2002,NR SR,307,Prievidza,SDPO,SDPO,110
2002,NR SR,308,Púchov,SDPO,SDPO,32
2002,NR SR,309,Trenčín,SDPO,SDPO,73
2002,NR SR,401,Komárno,SDPO,SDPO,43
2002,NR SR,402,Levice,SDPO,SDPO,88
2002,NR SR,403,Nitra,SDPO,SDPO,119
2002,NR SR,404,Nové Zámky,SDPO,SDPO,83
2002,NR SR,405,Šaľa,SDPO,SDPO,28
2002,NR SR,406,Topoľčany,SDPO,SDPO,68
2002,NR SR,407,Zlaté Moravce,SDPO,SDPO,29
2002,NR SR,501,Bytča,SDPO,SDPO,17
2002,NR SR,502,Čadca,SDPO,SDPO,42
2002,NR SR,503,Dolný Kubín,SDPO,SDPO,27
2002,NR SR,504,Kysucké Nové Mesto,SDPO,SDPO,8
2002,NR SR,505,Liptovský Mikuláš,SDPO,SDPO,60
2002,NR SR,506,Martin,SDPO,SDPO,181
2002,NR SR,507,Námestovo,SDPO,SDPO,57
2002,NR SR,508,Ružomberok,SDPO,SDPO,38
2002,NR SR,509,Turčianske Teplice,SDPO,SDPO,14
2002,NR SR,510,Tvrdošín,SDPO,SDPO,10
2002,NR SR,511,Žilina,SDPO,SDPO,68
2002,NR SR,601,Banská Bystrica,SDPO,SDPO,71
2002,NR SR,602,Banská Štiavnica,SDPO,SDPO,14
2002,NR SR,603,Brezno,SDPO,SDPO,56
2002,NR SR,604,Detva,SDPO,SDPO,19
2002,NR SR,605,Krupina,SDPO,SDPO,24
2002,NR SR,606,Lučenec,SDPO,SDPO,304
2002,NR SR,607,Poltár,SDPO,SDPO,198
2002,NR SR,608,Revúca,SDPO,SDPO,46
2002,NR SR,609,Rimavská Sobota,SDPO,SDPO,229
2002,NR SR,610,Veľký Krtíš,SDPO,SDPO,130
2002,NR SR,611,Zvolen,SDPO,SDPO,39
2002,NR SR,612,Žarnovica,SDPO,SDPO,15
2002,NR SR,613,Žiar nad Hronom,SDPO,SDPO,25
2002,NR SR,701,Bardejov,SDPO,SDPO,134
2002,NR SR,702,Humenné,SDPO,SDPO,60
2002,NR SR,703,Kežmarok,SDPO,SDPO,81
2002,NR SR,704,Levoča,SDPO,SDPO,39
2002,NR SR,705,Medzilaborce,SDPO,SDPO,13
2002,NR SR,706,Poprad,SDPO,SDPO,127
2002,NR SR,707,Prešov,SDPO,SDPO,130
2002,NR SR,708,Sabinov,SDPO,SDPO,68
2002,NR SR,709,Snina,SDPO,SDPO,30
2002,NR SR,710,Stará Ľubovňa,SDPO,SDPO,41
2002,NR SR,711,Stropkov,SDPO,SDPO,14
2002,NR SR,712,Svidník,SDPO,SDPO,32
2002,NR SR,713,Vranov nad Topľou,SDPO,SDPO,55
2002,NR SR,801,Gelnica,SDPO,SDPO,53
2002,NR SR,802,Košice I,SDPO,SDPO,292
2002,NR SR,803,Košice II,SDPO,SDPO,270
2002,NR SR,804,Košice III,SDPO,SDPO,98
2002,NR SR,805,Košice IV,SDPO,SDPO,289
2002,NR SR,806,Košice - okolie,SDPO,SDPO,293
2002,NR SR,807,Michalovce,SDPO,SDPO,260
2002,NR SR,808,Rožňava,SDPO,SDPO,50
2002,NR SR,809,Sobrance,SDPO,SDPO,41
2002,NR SR,810,Spišská Nová Ves,SDPO,SDPO,92
2002,NR SR,811,Trebišov,SDPO,SDPO,126
2002,NR SR,900,Cudzina,SDPO,SDPO,0
2002,NR SR,101,Bratislava I,SDĽ,SDĽ,296
2002,NR SR,102,Bratislava II,SDĽ,SDĽ,639
2002,NR SR,103,Bratislava III,SDĽ,SDĽ,394
2002,NR SR,104,Bratislava IV,SDĽ,SDĽ,522
2002,NR SR,105,Bratislava V,SDĽ,SDĽ,746
2002,NR SR,106,Malacky,SDĽ,SDĽ,374
2002,NR SR,107,Pezinok,SDĽ,SDĽ,378
2002,NR SR,108,Senec,SDĽ,SDĽ,325
2002,NR SR,201,Dunajská Streda,SDĽ,SDĽ,171
2002,NR SR,202,Galanta,SDĽ,SDĽ,387
2002,NR SR,203,Hlohovec,SDĽ,SDĽ,268
2002,NR SR,204,Piešťany,SDĽ,SDĽ,471
2002,NR SR,205,Senica,SDĽ,SDĽ,702
2002,NR SR,206,Skalica,SDĽ,SDĽ,543
2002,NR SR,207,Trnava,SDĽ,SDĽ,794
2002,NR SR,301,Bánovce nad Bebravou,SDĽ,SDĽ,533
2002,NR SR,302,Ilava,SDĽ,SDĽ,439
2002,NR SR,303,Myjava,SDĽ,SDĽ,400
2002,NR SR,304,Nové Mesto nad Váhom,SDĽ,SDĽ,725
2002,NR SR,305,Partizánske,SDĽ,SDĽ,436
2002,NR SR,306,Považská Bystrica,SDĽ,SDĽ,300
2002,NR SR,307,Prievidza,SDĽ,SDĽ,1376
2002,NR SR,308,Púchov,SDĽ,SDĽ,281
2002,NR SR,309,Trenčín,SDĽ,SDĽ,869
2002,NR SR,401,Komárno,SDĽ,SDĽ,233
2002,NR SR,402,Levice,SDĽ,SDĽ,837
2002,NR SR,403,Nitra,SDĽ,SDĽ,1274
2002,NR SR,404,Nové Zámky,SDĽ,SDĽ,761
2002,NR SR,405,Šaľa,SDĽ,SDĽ,296
2002,NR SR,406,Topoľčany,SDĽ,SDĽ,539
2002,NR SR,407,Zlaté Moravce,SDĽ,SDĽ,316
2002,NR SR,501,Bytča,SDĽ,SDĽ,165
2002,NR SR,502,Čadca,SDĽ,SDĽ,441
2002,NR SR,503,Dolný Kubín,SDĽ,SDĽ,549
2002,NR SR,504,Kysucké Nové Mesto,SDĽ,SDĽ,303
2002,NR SR,505,Liptovský Mikuláš,SDĽ,SDĽ,799
2002,NR SR,506,Martin,SDĽ,SDĽ,995
2002,NR SR,507,Námestovo,SDĽ,SDĽ,240
2002,NR SR,508,Ružomberok,SDĽ,SDĽ,275
2002,NR SR,509,Turčianske Teplice,SDĽ,SDĽ,191
2002,NR SR,510,Tvrdošín,SDĽ,SDĽ,206
2002,NR SR,511,Žilina,SDĽ,SDĽ,782
2002,NR SR,601,Banská Bystrica,SDĽ,SDĽ,1193
2002,NR SR,602,Banská Štiavnica,SDĽ,SDĽ,223
2002,NR SR,603,Brezno,SDĽ,SDĽ,724
2002,NR SR,604,Detva,SDĽ,SDĽ,182
2002,NR SR,605,Krupina,SDĽ,SDĽ,236
2002,NR SR,606,Lučenec,SDĽ,SDĽ,462
2002,NR SR,607,Poltár,SDĽ,SDĽ,163
2002,NR SR,608,Revúca,SDĽ,SDĽ,272
2002,NR SR,609,Rimavská Sobota,SDĽ,SDĽ,1041
2002,NR SR,610,Veľký Krtíš,SDĽ,SDĽ,247
2002,NR SR,611,Zvolen,SDĽ,SDĽ,705
2002,NR SR,612,Žarnovica,SDĽ,SDĽ,287
2002,NR SR,613,Žiar nad Hronom,SDĽ,SDĽ,293
2002,NR SR,701,Bardejov,SDĽ,SDĽ,1234
2002,NR SR,702,Humenné,SDĽ,SDĽ,611
2002,NR SR,703,Kežmarok,SDĽ,SDĽ,243
2002,NR SR,704,Levoča,SDĽ,SDĽ,200
2002,NR SR,705,Medzilaborce,SDĽ,SDĽ,210
2002,NR SR,706,Poprad,SDĽ,SDĽ,535
2002,NR SR,707,Prešov,SDĽ,SDĽ,1272
2002,NR SR,708,Sabinov,SDĽ,SDĽ,314
2002,NR SR,709,Snina,SDĽ,SDĽ,513
2002,NR SR,710,Stará Ľubovňa,SDĽ,SDĽ,484
2002,NR SR,711,Stropkov,SDĽ,SDĽ,190
2002,NR SR,712,Svidník,SDĽ,SDĽ,408
2002,NR SR,713,Vranov nad Topľou,SDĽ,SDĽ,490
